Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
1161.4,1115.86,1088.06,1138.76,1101.98,10.12,5.77,True,False,False,True,False,True,False,7.65%,-2.70%,10.53%,8.50%,-2.74%,2.95%,AXISBANK.NS
4596.0,4599.2,4659.38,4850.57,4764.84,-1.56,-8.68,True,False,False,False,False,False,False,0.07%,-13.32%,-6.47%,0.93%,-13.36%,-14.05%,BASF.NS
4319.9,4231.09,4094.66,4191.84,3708.68,5.3,-0.54,True,False,True,True,False,True,False,7.25%,1.98%,23.72%,8.10%,1.93%,16.13%,BEML.NS
332.05,357.05,367.89,375.17,389.86,-10.15,-12.07,True,False,False,False,False,False,False,-9.23%,-19.89%,-22.60%,-8.37%,-19.94%,-30.19%,BLS.NS
2080.5,2177.29,2298.35,2461.45,2139.03,-6.03,-18.36,True,False,True,False,False,True,False,-10.79%,-13.46%,14.63%,-9.94%,-13.50%,7.04%,BSE.NS
8616.0,8999.58,8663.84,8518.91,8303.57,-5.48,3.87,True,False,True,True,True,True,False,-0.79%,-0.17%,2.59%,0.07%,-0.21%,-4.99%,BAJAJ-AUTO.NS
987.35,987.64,928.68,926.73,871.4,10.16,3.65,True,False,True,True,True,True,False,10.24%,7.05%,35.25%,11.10%,7.01%,27.67%,BAJFINANCE.NS
2010.0,2043.23,1987.94,2002.01,1914.95,2.23,-1.45,False,False,True,True,False,True,False,1.52%,-0.56%,17.36%,2.37%,-0.61%,9.78%,BAJAJFINSV.NS
12000.0,12971.98,13325.96,13509.72,12517.88,-7.4,-14.29,True,False,True,False,False,True,False,-11.98%,-11.26%,13.78%,-11.12%,-11.30%,6.19%,BAJAJHLDNG.NS
111.55,112.55,113.32,117.86,118.42,-1.45,-8.16,True,False,False,False,False,False,False,-1.30%,-9.87%,-3.71%,-0.45%,-9.91%,-11.29%,BAJAJHFL.NS
2301.0,2396.62,2445.67,2496.05,2570.9,-2.64,-16.42,False,False,False,False,False,False,False,-4.68%,-6.87%,-14.57%,-3.83%,-6.91%,-22.15%,BALKRISIND.NS
456.0,513.67,548.72,569.66,539.75,-15.81,-26.18,False,False,True,False,False,False,False,-20.38%,-19.48%,-6.99%,-19.53%,-19.52%,-14.57%,BALRAMCHIN.NS
163.3,162.94,165.99,170.53,160.33,-0.87,-8.92,True,False,True,False,False,True,False,-7.65%,-2.61%,11.39%,-6.79%,-2.65%,3.81%,BANDHANBNK.NS
259.55,245.49,242.4,240.87,229.65,8.86,8.38,True,False,True,True,True,True,False,6.65%,10.48%,20.01%,7.51%,10.44%,12.43%,BANKBARODA.NS
124.5,118.2,115.03,115.59,108.36,9.62,10.05,True,False,True,True,False,True,False,7.37%,7.57%,36.35%,8.23%,7.53%,28.77%,BANKINDIA.NS
55.93,55.08,54.89,54.82,51.43,5.89,-0.8,True,False,True,True,True,True,False,1.21%,9.30%,9.30%,2.07%,9.26%,1.72%,MAHABANK.NS
1186.0,1225.04,1177.63,1200.76,1238.43,2.03,-1.2,False,False,False,True,False,False,False,6.03%,-6.40%,-11.05%,6.88%,-6.45%,-18.64%,BATAINDIA.NS
4922.0,5121.62,5544.11,5606.31,5308.9,-5.6,-22.0,True,False,True,False,False,False,False,-11.54%,-3.51%,-6.94%,-10.68%,-3.55%,-14.52%,BAYERCROP.NS
528.0,534.88,543.49,553.84,522.39,-2.91,-6.2,True,False,True,False,False,True,False,-2.85%,-3.59%,17.75%,-2.00%,-3.63%,10.17%,BERGEPAINT.NS
1544.0,1536.7,1545.34,1717.2,1478.14,5.46,-10.06,True,False,True,False,False,True,False,1.63%,-19.43%,34.50%,2.48%,-19.47%,26.92%,BDL.NS
407.05,395.41,386.76,391.94,337.4,7.49,1.21,True,False,True,True,False,True,False,8.78%,4.49%,52.00%,9.63%,4.45%,44.42%,BEL.NS
1220.0,1217.42,1183.62,1224.55,1185.16,7.43,1.27,True,False,False,True,False,True,False,5.71%,-1.88%,3.20%,6.57%,-1.92%,-4.38%,BHARATFORG.NS
240.1,229.64,227.7,241.49,226.62,10.66,-3.95,True,False,True,True,False,True,False,9.90%,-9.75%,22.07%,10.75%,-9.79%,14.49%,BHEL.NS
339.4,324.19,321.68,321.63,296.73,7.8,1.22,True,False,True,True,True,True,False,6.08%,7.09%,30.02%,6.93%,7.05%,22.44%,BPCL.NS
1869.5,1914.06,1908.41,1899.4,1785.64,-0.76,-1.96,True,False,True,True,True,True,False,-3.13%,1.56%,17.81%,-2.27%,1.52%,10.23%,BHARTIARTL.NS
1657.0,1718.22,1761.7,1774.51,1602.64,-6.52,-8.59,True,False,True,False,False,True,False,-6.54%,-3.73%,17.63%,-5.68%,-3.77%,10.05%,BHARTIHEXA.NS
